Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,12.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,37.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,12.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,37.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,12.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,37.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
